,tweet_text,sentiment
26,"Pues no, fichajon seria Kante, Hazard, Mbappe... No uno de aos que en la copa del mundo fue una decepcin.",NEGATIVE
27,"aos ??:Consigui ttulos en su carrera, incluyendo con , con y la con . Disput con la Canarinha. Feliz Cumple! ??",POSITIVE
29,?Ya lleg a nuestra tienda la nueva camiseta del ? PRECIOSA?,POSITIVE
30,"Me caes bien cuando eres objetivo porque eres muy inteligente, pero ahora s t desconoci, de verdad ojal les alcance para el campeonato porque de nada va a servir tanta emocin e ilusin de ustedes nuestros hijos cementeros",POSITIVE
31,"Nunca dije que se fuera,me parece un excelente jugador lo dije a modo de comenzar acomodar el equipo tal vez t fuiste el que no entendiste, buen da chico",POSITIVE
32,El enfado de los aficionados ingleses por la ms que posible salida de salga del en direccin a Espaa es monumental (comparan su rendimiento superior en comparacin con Morata). Interesante lectura.,POSITIVE
33,"Que buen partido, ya -0 y sin despeinarse!! Que gran equipo tiene para poder competir este ao por la COME ON REDS",POSITIVE
34,"A partir de ahora sois mi equipo preferido de la Premier, enhorabuena, con un poco de suerte me compro la camiseta hahahah",POSITIVE
35,Por favor una Copa para la y otra para el . Puro espectculo el que nos han regalado en la eliminatoria.,POSITIVE
36,Lo mejor de todo es que le devolvieron el skill,POSITIVE
37,"Increble que con todo el dinero gastado esta temporada, los sper refuerzos y el gran tcnico; el no pueda ganar ni un solo punto de posibles. Ni siquiera ha podido anotar ?? ah estn las cosas chingonas ?",POSITIVE
38,"Acierto del con el fichaje de Matto Guendouzi.MC de altsimo nivel tcnico, gran toma de decisiones y rpido en ejecucinGran despliegue por el terreno de juego, tiene capacidad para generar juego en cualquier zona del campo Prxima revelacion en la",POSITIVE
39,"Los problemas internos se reflejan en el campo, y old trafford hoy reflej todo... ???",NEGATIVE
40,Siempre dije que Gandhiola solo es un mediocre muy publicitado.,NEGATIVE
41,Mal tiempo.... Resulta que en Bilbao se esta de puta madre del calor que hace jajajajaja,NEGATIVE
42,"El d mou, q no iba a fichar, tiene q dar bajas, no caben todos",NEGATIVE
44,"tenes razon, deberia ""descender"" los animos de mis comentarios.. buena observacion amigo",POSITIVE
45,"Antonio Conte tenia un buen proyecto con el Chelsea pero tenia problemas con la directiva y eso lo impidio hacerlo. Ahora Sarri igual tiene un proyecto, le gusta darle continuidad a jovenes promesas.",POSITIVE
46,"Por su parte, Arsne Wenger no se va de la mejor manera del . Sinceramente mereca irse y cerrar este ciclo de aos con un ttulo internacional, pero lamentablemente no se dar. De todos modos nadie podr negar todo lo que hizo por este club. Fantstico!",NEGATIVE
48,Sigue en recuperacin! Yerry Mina tampoco debutar esta semana con el,NEGATIVE
49,"y empataron a y siguen en mala racha, el local al menos llega invicto partidos pero no le sirve si aspira a copas internacionales.Esta a del ultimo puesto de",NEGATIVE
50,Feliz Cumpleaos gaffer. Gracias por todo en Manchester City.,POSITIVE
51,"Alisson al ... increble. El salto de jerarqua y calidad que han obtenido este mercado es increble, si antes eran capaces de llegar a la final, ahora son capaces de ms. Veremos cmo acoplan las piezas, pero sin lugar a dudas prometen mucho.",POSITIVE
52,"Respecto a Arsenal, no pude ver la serie contra el Atltico, pero hay que ser muy honestos y crticos, el equipo ha tenido la peor temporada en la era Wenger y ganar la Europa League resultaba utpico. El lugar que hoy tenemos en Inglaterra y en Europa es el que merecemos.",NEGATIVE
54,Santi no quiero pelear porfa no me hagas enojar,NEGATIVE
55,No mames hasta ulises davila fue del chelsea,NEGATIVE
56,No venan jugando mal pero no se le daban los resultados. Al fin gan,NEGATIVE
57,"Te confieso que me hiciste hasta llorar, todo es por culpa de los dirigente,que lo nico que hicieron fue robar, y ahora lo que te queda es la gente, que cada fds viene alentar ???",POSITIVE
58,Igual sigue siendo grato volver a ver a un gigante en la cima de Europa. Congrats ?,POSITIVE
59,"Saben lo que pasa muchachos, la familia es casi toda de Riber, por eso tanto ardor en la cola, aparte de irse de Velez...",NEGATIVE
60,"Felipe Anderson al . El traspaso ms caro de su historia, M, un jugador que en la Lazio ha ido de ms a menos, nunca fue el que se esperaba, eso s, que ahora juegue mucho ms por dentro le puede venir bien para asociarse con Lanzini, Arnautovic y compaa.",NEGATIVE
61,buena pasada hicieron...malo haber jugado con la ilusin del jugador,NEGATIVE
62,? CHULADA!! ?El vestir de manera elegante para la siguiente temporada ??,POSITIVE
63,Mil gracias Javier,POSITIVE
64,"Y no es el nico ejemplo. Ac el problema es la envidia, la envidia al club ms grande de la historia: Real Madrid.",NEGATIVE
65,Idolo...El Rojo Te Espera...para Cuando Campen...Mis Felicitaciones...,POSITIVE
66,"Previa ESPECTACULAR con Asi s, este ao toca la !",POSITIVE
68,Mucha suerte en la FA CUP !!!!!,POSITIVE
69,No puedo creer que Allison Becker haya fichado con y siga sin encontrar un buen club,POSITIVE
70,"Me caga que eleven los precios tantos por cualquier jugador, mal ah, ya no te quiero, bueno s",NEGATIVE
71,"Suerte Sergio, te deseo lo mejor en sta etapa en Inglaterra.???",POSITIVE
72,"Luke Shaw es una carreta, lento! Obeso est! No puede jugar este muchacho jajaja.",NEGATIVE
73,"aos ??:Multicampen con , y . Mxima leyenda del ftbol islands, donde es el mximo goleador de la Seleccin. Ex y . Feliz Cumple! ??",POSITIVE
74,Rom-1 Liv-2Partido abierto y lleno de ocasiones.La sali a por todas pero el tuvo ms pegada.Marcaron Man y Wijnaldum y Milner en pp hizo el empate momentneo.Se viene una segunda parte apasionante.,NEGATIVE
75,"Nose por que le teneis tanto cario, ami no me parece tan bueno como lo pintan, es un lateral que no sabe centrar...",NEGATIVE
76,"No slo en la Liga MX no hay continuidad. Chelsea, el ejemplo perfecto.",POSITIVE
77,"Fue tan Van Dijk ?????Ya la neta si no lo traen, solo alguien puede llenar el hueco que tiene mi cora....y es leon bailey",NEGATIVE
78,"dais mucha pena,sois unos fracasados, vete para tu casa,esto es lo que os espera contigo y retirate del futbol ests acabado, sois una puta verguenza de equipo",NEGATIVE
79,Estoy muy seguro de que el se llevara la premier esta temporada y seguramente peleara duro por la,POSITIVE
80,"Oye me laten me caen sper, se me hacen un equipo con tradicin pero ojal pierdan hoy para que se vaya Moyes por no alinear a .",NEGATIVE
81,que te parece este -1 ?Sinceramente el ingeniero hace buen trabajo.,POSITIVE
82,"El es una mentira de equipo y la culpa la tiene la directiva en contratar a y sobre todo por no darle fichajes top, ya que es la nica manera que tiene este entrenador en ganar algo. Sobrevalorado total. Y los que saben cmo Alexis se les olvida.",NEGATIVE
83,"El del bien emocionado xq estuvo en el juego entre el Pero ella tambin estuvo en con el y se vea muy feliz. O sea, le gusta las dos bandas. ?????????????????????",POSITIVE
85,Queda felicitar a los muchachos que han estado trabajando a conciencia y con mucho compromiso estos ltimos meses para representar los colores con mucha pasin. Volveremos y venceremos! ???,POSITIVE
86,una mala adquisicin teniendo porteros como ?,NEGATIVE
88,Eres un jugadorazo !!! Y lo seras mas si algun dia juegas en el celta. Suerte para la temporada.,POSITIVE
89,"? Se saba que sera un inicio complicado. /6 puntos frente a los ltimos campeones de los mximos galardones en el ftbol ingls con un DT debutante tras largos aos. No es lo ideal, pero estaba en el presupuesto. Esto es de largo aliento y lo mejor es apoyar al club.",POSITIVE
90,"Mas de la mitad de los comentarios aon Dj algo, que pendejo el zaha se la mamo",NEGATIVE
91,"Si we , ya estaba fichado . Pero al ms puro estilo del mercado quisieron regatear jajaja y vali barriga.",POSITIVE
92,"""Jorginho ha iniciado su nueva aventura con el muy bien, el ya est integrado adems de que tambin habla bien ingls, entonces no est teniendo ningn problema para establecerse.""El agente de Jorginho habla del tiempo que lleva su cliente en el",POSITIVE
93,Trippier nos est acostumbrando a los goles lindos y de tiro libre. Mucha rosca. Mucha potencia. Mucha exquisitez. -1 lo gana,POSITIVE
94,"Bien por ....no me gusta nada Colo Colo, aunque le d muchas alegras al pueblo.",POSITIVE
95,Ja ja ja ja ja ja ja ja ja ja Cules doble moral pero vamos no desperdicies tus fuerzas el el te necesita ????,NEGATIVE
96,"Una mierda de mercado de fichajes para , como siempre se empean ms en firmar auspicios/Sponsors y alardear que son ""el equipo ms rico del mundo"" que ha mostrar jerarqua como club",NEGATIVE
97,El equipo con una marca en la impresionante.,POSITIVE
98,Que hermosa es la Premier en un partido que lo tenian controlado los Spurs pasan a perderlo por el mpetu de los jugadores del Watford,POSITIVE
99,"Moura es desequilibrante, rapidsimo, literalmente o juega por derecha o se muere porque la izquierda la tiene de adorno, es buen centrador y sala econmico, por qu no Moura????? Por qu dejamos pasar esa oportunidad? igual que ocurri con Aurier.",POSITIVE
100,Si mourinho no lo deja esta temporada seria una gran estupidez es el mejor jugador de esta pretemporada,POSITIVE
101,"Se marcha por . Debuta en la el croata. Y con la camiseta del , por supuesto. Por cierto, partido muy muy completo del medio-centro ingls. Nos gusta que vuelva a tener confianza!",POSITIVE
102,Gracias a los aficionados que estuvieron hoy en Vicarage Road! ?,POSITIVE
103,?????? Sarri... empezamos perdiendo de entrada?????,NEGATIVE
105,Media base tiene buen ojo!! Es un jugadorazo ????,POSITIVE
106,"millones, me parece algo totalmente normal como esta el mercado, que tiene de malo?",NEGATIVE
107,"Tiene buena pinta ste chaval, aunque evidentemente necesita entrenamientos y jugar. Pero creo que centra mejor que todos los laterales juntos, salvando algn centro de Young a veces.",POSITIVE
108,"No es sobre cambiar los gustos y la forma de pensar, eso no lo voy a cambiar jamas, ni viceversa, es sobre aceptar la realidad, que Boca te supera en copas, en partidos y en hinchas, tan simple como eso. Para eso estan las estadisticas.",NEGATIVE
109,"Gran juego de mi , Sadio va a estar hecho una bestia est temporada.",POSITIVE
110,Lo que tienes de alto lo tienes de pendejo ?,NEGATIVE
111,Orgullo nacional es cuando juega para la seleccin.sus mritos y triunfos personales son de l. Bien por l,POSITIVE
112,"Ya me cans de despertar pensando en el anuncio de Golovin y no obtener nada, los odio",NEGATIVE
113,"M me parecen bien, tiene dos o tres aos a buen nivel y como recambio, nada mal.",POSITIVE
114,Llegaron hasta donde podan con ese equipito de mierda.,NEGATIVE
115,"Usa la plata para comprar una replica y deja de pasar verguenza en esta competencia de CLUBES en serio ,",NEGATIVE
116,Pues me traslado del Bentegodi al Stanford camarada igual la Juve ya se cago en mi ?,NEGATIVE
117,A y no los inflaron xq si tenan cualidades y la calidad para triunfar fue su mentalidad mediocre el conformismo de quedarse en su zona de confort y que se subieron a su nube cuando al llegar a creyeron q lo haban logrado,NEGATIVE
118,Desde que te fuiste no ha habido un da que no piense en ti. No te vayas nunca,NEGATIVE
119,Felicidades al por haber obteniendo la un equipo genial que ha sabido compactar con todas sus estrellas leroysane19 Bravo por tus,POSITIVE
121,La camiseta del Leicester City es de las ms lindas de la Premier League ?.,POSITIVE
122,"Solo djenme disfrutar este momento del ..... ahhhh! Bueno, de vuelta al trabajo.",POSITIVE
123,Te amo Liverpool desde Mexico te sigo y me sigues,POSITIVE
124,Pura elegancia y un claro guio al ftbol clsico. Grande Unai,POSITIVE
125,"Hay varios que estan dentro de los mejores del mundo en sus respectivos puestos...Mane, Salah, Firmino, Robertson y VVJ y el resto a un gran nivel Hendo Milner Lallana Ox y Can ....con o buenas contrataciones se pelea la Premier y Champion el prximo ao",POSITIVE
126,Fracasado y sin manos!!! Mtete esa camiseta horrible en el orto!!! Suplente eterno.,NEGATIVE
128,"Caso Calleri. Hay jugadores que les importa ms su bolsillo que la gloria. Cosa que no me parece mal pero para boca, dame los que quieren la gloria.",POSITIVE
129,No te fuiste aun.. y ya siento que te extrao ? sos lo mejor de Boca negro.,NEGATIVE
130,"JAJA PSV tendr que pelear por un puesto en Europa League.Sin embargo, es una excelente vitrina para el Chucky. Ojal haga buenos partidos",POSITIVE
131,Bien este es el ao vamos adelante fuerza Saludos y xitos desde Vinces los Ros Ecuador,POSITIVE
132,goles en esta serie de semifinal entre y sin dudas una de las mejores serie de Champions en mucho tiempo.,POSITIVE
133,"Le tengo una fe tremenda al tridente Mo Salah, Firmino y Man maana. A clasificar se ha dicho. Ellos y Klopp son los nicos que pueden bajar al Madrid",POSITIVE
134,Muuuy bien Garcas mejor lo mejores equipos del mondo del historia muchas Felicidades campen???????????,POSITIVE
135,"Dos finales, un objetivo. Yo estoy a muerte con este equipo. Ellos no nos fallarn si nosotros no fallamos. KEEP GOING LADS.",NEGATIVE
136,"No!! Pobres! xD El Everton es mi equipo de la premier, no les mandes el paquete! Jaja",NEGATIVE
137,Los grupos B y H son cumbres en la fase de grupos de la Para el ser todo un reto pelear por la supremaca de grupo con el y en menos medida con el en plena reconstruccin. El es un buen proyecto a largo plazo,POSITIVE
138,Junta deportiva/econmica Bartomeu ha sido PSIMA estos aos (a pesar de eso Ttulos de jugadores/entrenadores y con unidad floja)pero hay que reconocer que este verano la gestin salidas/entradas/limpia unidad ha sido MUY BUENA. Al Csar.....(mencin especial ),POSITIVE
139,"Muy bien Agero, y en la seleccin?",POSITIVE
140,?9'?? GOOOOOOOOOOOL DEL LIVERPOOL! Man aprovecha un error de la zaga romana y abre el marcador en el Olmpico ?-1? (Global -6) ? :,NEGATIVE
141,"Lo de Javi Gracia siguen en estado ""De Gracia"" ??? y ganan al para conservar su invicto en la ?? da otro piquetazo ???",NEGATIVE
142,"Lenglet me parece mejor, sobretodo en salida, el problema es que es zurdo entonces se complica para jugar con umtiti. Lo que si es muy bueno de yerry es que tiene mucho gol.",POSITIVE
143,No espero nada bueno de ustedes y an as logran decepcionarme ... ??,NEGATIVE
144,"El Gol de Yerri Mina en el Mundial ante Inglaterra ha sido clave en el conocimiento y reconocimiento desde la Premier de un jugador de la calidad de Mina. Creo que se adaptar bien, al menos en lo futbolstico a su nuevo destino. Suerte. ??",POSITIVE
145,"Yo creo que si,MEza es un extraordinario coach con esa idea del ftbol??igual ala de guardiaola,lo de pep,no es nuevo y si x esmeza ??no te gusta,la comparacinEl ftbol es sencillo mientras mas simple ytodos corren igual sea ftbol asociacin no individualidades. Saludos NY",POSITIVE
146,Desde Chile Feliz Cumpleaos Pellegrini.Atte,POSITIVE
147,"Me hubiera gustado un chingo que algn club grande, adems del , jugara contra la Estrella Roja.",NEGATIVE
148,literalmente jug como un tanque! Genial jugador tenemos!,POSITIVE
149,"Buen laburo de Vietto. Se mueve por todo el frente de ataque para buscar la pelota, no se queda estancado en una posicin.",POSITIVE
150,Sin guardar relacin con arribo de a llega a en calidad de prstamo ;,POSITIVE
151,Mucha suerte en tu nueva etapa .. Ojal puedas volver a tu nivel y a disfrutar del futbol.,POSITIVE
152,"Pffff menos mal, se estaban acercando las y ya me estaba asustando",NEGATIVE
153,al ? quiero verte en mi equipo Europeo,POSITIVE
154,La del Puebla no se queda atrs eh! Pesima haha,NEGATIVE
155,Y te falt el y el ..... Brutal!,NEGATIVE
156,"Buena suerte, nos vemos la temporada que viene ?",POSITIVE
157,"Desde hoy Son mi equipo favorito, Y Ojala ganen la premier, Gracias por Todo, Os habeis ganado todo el respeto del Barcelonismo, Club Amigo ?",POSITIVE
158,"A disfrutar del espectculo.. hoy solo , nada de ?",POSITIVE
159,??????? | Calvert-Lewin jug en la posicin de Richarlison y en ataque respondi con su gol y siendo el ms peligroso para el arco rival.Lamentablemente en marca fall mucho y cometi muchas faltas que le bajaron el ritmo al partido.,NEGATIVE
160,"cumple con la lgica, le gano a y se asegur la ... Ahora va por la",POSITIVE
161,La verdad el baj mucho las revoluciones al final e hizo una fiesta atrs.,POSITIVE
162,Grave ha sido la lesion de Kevin De Bruyne. Sera sometido a examenes en Manchester y Barcelona. Podria estar hasta meses de baja.,NEGATIVE
163,"Los aficionados del (31 puntos) muy atentos a este choque. Una victoria de cualquier equipo les desciende de categora, sin embargo un empate les dara oportunidades para la ltima jornada",POSITIVE
164,"""Tenemos muchos jugadores muy buenos... pero Kevin De Bruyne... lo amo, es mi hroe."" - Leroy SanOjo aqu, .",POSITIVE
166,No puedo creer esta ayuda del Everton para cuadrar las cuentas del Bara con ftbolistas q no quieren y q necesitan salir. Es un escndalo grandsimo.,NEGATIVE
167,"gracias por las ulceras de hoy... No te voy a decir ""nunca cambies""... HAZLO, por el bien de mi salud.",POSITIVE
168,"Pero nada nada mal, el betia no llegaba a creo",NEGATIVE
169,Muchas sonrisas previo a nuestro viaje el domingo a Estados Unidos! ??,POSITIVE
170,"Jrgen Klopp ""Muchos piensan que nuestra ventaja no es suficiente"" ""Tenemos que estar listos, porque la Roma lo estar"" ""No es imposible -quedar afuera- porque es ftbol, pero ellos la tendrn bastante difcil""",NEGATIVE
171,"Es una vergenza este tipejo, nefasto, lo que tiene de altura lo tiene de mierda en el cerebro el imbcil este",NEGATIVE
172,Retweeted Borja Bastn ():Mucha suerte en tu nueva aventura !!! Espero que tengas muchos xitos en el !???,POSITIVE
173,"Vale, lo tengo que admitir. El () es el mejor equipo de ???",POSITIVE
174,"| El Newcastle Unite de la Premier League de Inglaterra, anunci el fichaje del delantero venezolano Salomn Rondn, el vinotinto llega en prstamo por un ao y opcin a compraFelicidades Gladiador ????",POSITIVE
175,"Te odio es la segunda vez que me haces perder un parley, no ganarle al wolverhampton ?? muranse pechos fros!!",NEGATIVE
176,"Yo no se si a ustedes les pasa, pero me da un fresquito que al y a le hagan muchos goles",POSITIVE
177,"no est contento con la plantilla del ??????""Nuestro nivel no est a la altura del que tienen en sus plantillas equipos como el Liverpool y el Chelsea. Necesitamos fichajes y mantener a nuestras estrellas si queremos luchar por la Premier""",NEGATIVE
178,"""Jugamos estos ltimos cuatro partidos al mismo nivel que la temporada pasada. Es difcil cuando juegas contra equipos que meten diez jugadores atrs y contraatacan bien. Me sorprende haber generado varias ocasiones""",NEGATIVE
179,Mucho canterano con futuro en el. Me ha encantado NelsonY buen para ser el debut...Rodri es maravilloso (fichajazo),POSITIVE
180,Copia y coloca a tu EQUIPO favorito de cada pas ??? - ?? - ?? - ?? - ?? - ?? - ??????? - ?? - ?? - ??- me valen verga,POSITIVE
181,"""Es normal en esta fantstica plantilla (que un jugador quede fuera)"", afirm.",POSITIVE
182,Visten de colorado pero no veas que peazo de tampoco veo que deslumbra y no lo digo por los goles que brillan por su ausencia su juego pues eso ni fue ni fa,NEGATIVE
183,Es lo que no entiende ese periodista mediocre que sus jugadores la mayora son banca en Europa,NEGATIVE
184,"La opcin de recompra es buena por si acaso, suerte al panita y esperemos recomprarte en el futuro eso significara que te has salido en la premier ???? .",POSITIVE
185,Mucha suerte hoy en la al del tinerfeo en su visita al (19.45h) ??,POSITIVE
186,La Real Sociedad de Ftbol est disponible! Gracias a,POSITIVE
187,nada ms lindo sera que tener la gran camiseta de Mo el egipcio,POSITIVE
188,"Buen dia !! Ya desayunando con la premier , ojala empate el . Saludos",POSITIVE
189,"Es precioso!! Enhorabuena a esos luchadores, madre, padre e hijo.",POSITIVE
190,"Y que les quede claro que ustedes son unos recin llegados, no son nadie, sin los petrodolares no tienen NADA",NEGATIVE
191,"Jajajajaja no es mi fav tanto, pero es el que ms me gusta de Italia",POSITIVE
192,Gracias a la por saludar al capitn por coronarse campen en Inglaterra con . Son notables y demuestran unidad y equidad de una manera digna de destacar a nivel mundial ????,POSITIVE
193,Increble que solo por ser Brasileiro esta hoy da en y no el mejor que es !!,POSITIVE
194,"Cmo alegra la vida ver un buen partido de ftbol!, los ""Hornets"" del llegaron a su partido como vctimas, siguen invictos y en la punta, quizs no dure mucho, pero nadie les quita lo bailado hasta ahora.",POSITIVE
195,Seores los dos tenan ke a ver salido siempre el mas joven y mas oscuro de piel pierde o no vieron las dos patadas ke le tiraron,NEGATIVE
196,Yo me cio a los pocos partidos que he visto del Y me parece que arriba tienen al mejor tridente del mundo y atrs son una verbena.Dicho lo cual en una final puede ocurrir cualquier cosa y hay que tenerle respeto si,POSITIVE
197,Hotel Manzanillo presenta... La y toda la son una verguenza...Es un escandalo igual al de ayer...Nunca caminaran solid y Siempre estaran los arbitros con ustedes...,NEGATIVE
198,Definitivamente ha sido de las mejores semifinales por no decir la mejor que he visto entre y mi favorito al Ttulo esta es est llave,POSITIVE
199,"No entiendo a Sarri. Ayer sali a decir que no se ve al , pero ya son dos juego en la banca. A mi no me engaan. ?",NEGATIVE
200,"Muy fcil, que pase el siguiente. Old Trafford y el se respetan igual que a una madre.",POSITIVE
201,"Sin duda. Mientras no juegue, no anot y nada de nada. No estar pero bueno el top no est mal.",NEGATIVE
202,"Bueno est bien que acepten que Liverpool da pena pq ah no se equivocan, por otro lado me dice que solo me sigue "" mi familia "" en realidad no me importa las redes sociales vos tens miles de seguidores y tens fav por cada tweet...",NEGATIVE
203,Eres el mejor del mundo. Somos humanos tenemos errores. Vamos que esto sigue.,POSITIVE
204,"Grande capitn, eres y sers el mejor!??????",POSITIVE
205,Desde Uruguay te acompaamos en esta nueva etapa. Todo el xito que te mereces. Te vamos a estar marcando de cerca ??.,POSITIVE
206,"Me caga cuando ponen ""el mexicano "" ptm ya sabemos que es mexicano !!!",NEGATIVE
207,"Solo busca conflicto para gustar a cierta parte de realistas. Es todo complejos. La Real no le merece, flaco favor os hace.",NEGATIVE
208,Que bueno volver a ver a un equipo de tanta tradicin e historia de vuelta casi seguro en una final de Champions. Bien liverpool,POSITIVE
209,"Luiz: ""Lo estoy disfrutando mucho, tenemos una gran filosofa, un gran manager y un espritu increble en el equipo, as que es fantstico estar jugando"".",POSITIVE
210,"Mustafi es lamentable, Koscielny an tiene la excusa de q es un cadver por las lesiones",NEGATIVE
212,aos :Actualmente en . Campen con en . Brill en y . Mundialista en ?? con . En super un cncer. Feliz Cumple! ??,POSITIVE
213,? increble que la deje ir un talento as... en el o hara maravillas.,POSITIVE
214,Qu hueva..... mejor que pongan el himno unas veces THEEE CHAAAAMPIOOOONNSSS,POSITIVE
215,"no bajen seal de Paraguay pf , sale psimo c/ ese odioso cuadro x cuadro, la Intl Champions Cup sale horrorosa, no se les ocurra hacer eso con la Premier",NEGATIVE
216,Son unos hijos de re mil puta. Todos los aos lo mismo con ustedes. QUE SE VAYAN TODOS,NEGATIVE
217,"La pierde por no poner desde el inicio a Gonalons, errores defensivos, falta de pierna fuerte, psimo arbitraje y un toque de suerte en la ltima pelota. nada distinto, pero te mata. Tarde la patada fuerte a Man",NEGATIVE
218,"Ya estoy ms feliz que nunca, cualquiera que salga campen estoy conforme. Los amo",POSITIVE
219,Lo que no rinde pa fuera no hay mas.... ni uno de los traia casta para jugar en Barca..... es un club plagado de estrellas y estos no dieron el ancho.... suerte en el Everton.....,NEGATIVE
220,? | Pickford ha sido nominado a los North West FootballAwards en la categora de mejor jugador de la Premier League de la temporada anterior.Este es un gran logro para el internacional ingls que en su primer ao con el Everton tuvo un gran desempeo!,POSITIVE
221,"Se ve triste , es un tremendo delantero y recuper el gol, pero con Man, Firmino y Salah es muy difcil que pueda ser titular...",NEGATIVE
222,"Bien viento y buena mar... Gracias por tanto en , sigues siendo una gran atajador, s que lo hars espectacular!!!",POSITIVE
223,Es una alegra ver a un tan explosivo despus de tanto.,POSITIVE
224,Eres buen chida amiga,POSITIVE
225,"Tras un excelente mundial, ha sido contratado por el de Inglaterra. La operacin cost alrededor de millones de Euros.",POSITIVE
226,"La premier es mejor, cualquiera puede ganar... Bla bla bla.Lo que hace el City lo hara tambin el Madrid o el Bara en la premier.",POSITIVE
228,Hablando de lo deportivo es un rotundo fracaso . Igual que James en la banca pero ganando millones ... As cualquiera se queda en la banca . Hay fracasos de fracasos .,NEGATIVE
229,Hijo de puta el jugador ms sucio y malintencionado que existe en el ftbol mundial,NEGATIVE
230,"Por favor consigan los derechos de transmisin de estos partidos. No aguanto la horrible transmisin de , procedan a hacerle PTs a cada jugador del City. Chinga, este equipo es de moda, es bsicamente Tigres de Inglaterra. La diferencia es que respeto a Tigres",NEGATIVE
231,No entiendo el funcionamiento del veo que Fabregas y Jorginho se estorban? El espaol crea juego y el Italo-Brasileo es mixto. Pero los veo tcticamente en la misma zona. O muy cerca.,NEGATIVE
232,"Parece que al final, el colombiano Yerry Mina tiene todo arreglado para fichar por el . El costo del fichaje sera de m. El lo fich hace meses por m, tremendo negocio.",NEGATIVE
233,Yo estoy contento. Soy Madridista y me alegra ver a Yerry lejos de ese club. El mismo se encargar de demostrar si fue injusta o no su salida,POSITIVE
234,Siempre apoyandote mi Capi querido y te estoy esperando en la roja de todos saludos!!!,POSITIVE
235,Enhorabuena Dani!! El duro y el buen trabajo tiene recompensa!! Disfruta!! ????,POSITIVE
236,"FELICITACIONES!! que tengas enormes xitos y que metas MUUUCHOS GOLES para tu nuevo equipo. Suerte, bendiciones y aspiramos gritar pronto tu primer gol en este gran equipo.",POSITIVE
237,"Pero esa defensa de los ""Beatles"" es terriblemente regular. As, Cristiano y Benzema los vacunan.",NEGATIVE
238,Buen triunfo ante el poderoso Watford. Felicitaciones.,POSITIVE
239,"Kovacic no es titular en su seleccin jug en el peor Inter de la historia, se quiere ir a un chelsea donde igual tiene que luchar un puesto. No creo que no es que no lo dejen jugar es que no es un titular indiscutible. Hay que ganarse un puesto.",NEGATIVE
