,Unnamed: 0,Speech,sentimentAnnotation,EngSpeech
73,73,y dos a los m- a los veinte o treinta minutos de habertelo puesto parecia que te habias echado aceite en la cara,-1.0,"and two at m- twenty or thirty minutes after putting it on, it seemed that you had put oil on your face"
74,74,el peor de hecho es el peor producto que he probado de Milani,-1.0,The worst is actually the worst product I've ever tried from Milani
75,75,todo lo que he probado hasta ahorita me ha gustado,1.0,everything I've tried so far I liked
76,76,"unos mas otros menos, pero no tan: no tan // mal me ha ido como con este: con este polvo",-1.0,"some more others less, but not so: not so // bad it has gone with this: with this powder"
77,77,si alguna de ustedes lo ha visto en alguna tienda de verdad no se lo compren porque //,-1.0,"If any of you have seen it in a real store, don't buy it because //"
78,78,no les va a sellar el maquillaje les- no les va a controlar eh: los brillos en su cara,-1.0,they are not going to seal their makeup they are not going to control them huh: the glitter on their face
79,79,"Eh: no te quita ni: ni la mascara normal de pestana, ni la resistente, ni nada. Te escuece muchisimo.",-1.0,"Eh: it doesn't take away neither: nor the normal mascara, nor the resistant one, or anything. It stings you a lot."
80,80,"Pone, limpia y en profundidad, pues no a mi no me desmaquilla, ni en profundidad ni sin profundidad.",-1.0,"It puts, clean and in depth, because not I do not remove makeup, neither in depth nor without depth."
81,81,"Me pica muchisimo, mm:",-1.0,"It itches me a lot, mm:"
82,82,"para que se quite bien te tienes que estar restregando, por lo menos para mi.",-1.0,"to remove it well you have to be scrubbing, at least for me."
83,83,"Y la verdad que es un producto que compre porque, bueno, porque: era economico y era un desmaquillador. Que",1.0,"And the truth is that it is a product that I buy because, well, because: it was cheap and it was a makeup remover. Than"
84,84,"que la verdad es que, mm habia otro que era: es mas chiquitin y era bifasico y ese si me gustaba muchisimo. Pero lo retiraron y bueno, pues me compre este para probarlo",1.0,"The truth is that, mm there was another one who was: he is younger and he was biphasic and I really liked that one. But they removed it and well, then I bought this to try it"
85,85,"y: no me gusto, no me gusto y yo digo que no:, no lo volveria comprar en la vida eterna.",-1.0,"And: I did not like it, I did not like it and I said no: I would not buy it again in eternal life."
86,86,"Que: la verdad es un perfume muy especial, justamente como decia esta chica de la perfumeria. ",1.0,"What: The truth is a very special perfume, just as this perfume girl said."
87,87,"Es un perfume que no uso todos los dias, em // que la verdad en ocasiones muy especiales lo uso. ",1.0,"It is a perfume that I do not use every day, em // that the truth on very special occasions I use it."
88,88,"Depende del estado de animo que tenga. Cuando tengo un estado de animo que digo mm como que: quiero sentirme diferente, me pongo este perfume.",1.0,"It depends on your mood. When I have a mood that I say mm like: I want to feel different, I put on this perfume."
89,89,"Este, porque la verdad eh: no se, no se, te hace sentir, diferente.",1.0,"This one, because the truth is: I don't know, I don't know, it makes you feel different."
90,90,"Te queda como el pelo estropajoso, je te lo lavas, te lo desenreda y te das esta crema y te queda: como si como si no te lo hubieras desenredado. Entonces,",-1.0,"It looks like scrubby hair, you wash it off, untangles it and you give yourself this cream and it looks like: as if you hadn't untangled it. So,"
91,91,"pues no se que efecto hace la verdad, // no se que que efecto quiera hacer.",-1.0,"Well, I don't know what effect the truth makes, // I don't know what effect it wants to make."
92,92,"Y arenoso, como recien salido del mar, no, no desde luego salido del mar esta. Pero, pero sin peinarte, entonces",-1.0,"And sandy, like fresh from the sea, no, of course not from the sea. But, but without combing your hair, then"
93,93,"pues yo pense que esta crema lo que hacia era hidratarme. Al tener ese olor a coco y al- no se, a poner look de playa, pues no se un poquito mas de pena, pero bueno que: el pelo hidratado.",-1.0,"Well, I thought that this cream was hydrating me. Having that coconut smell and I don't know, to put on a beach look, because I don't know a little bit more about it, but good that: hydrated hair."
94,94,"Pero no, a mi me queda el pelo como estropajoso, luego es dificilisimo, no se puede quitar y bueno que no lo volveria a comp-",-1.0,"But no, my hair looks like scrubbing, then it is very difficult, it cannot be removed and well I would not buy it again."
95,95,"Esas no me gustaron porque: venian medio secas. O sea, una no estan bien impregnadas de de de liquido desmaquillante",-1.0,"I did not like those because: they came half dry. That is, one is not well impregnated with makeup remover liquid"
96,96,"y dos, no quitan con facilidad el producto que tengas en los ojos.",-1.0,"and two, they do not easily remove the product that you have in your eyes."
97,97,"Por ejemplo, cuando yo me pongo siempre eh: rimel a prueba de agua, y eso me costaba mu:cho trabajo quitarlo con esas toallitas.",-1.0,"For example, when I always put on eh: waterproof mascara, and that cost me a lot of work to remove it with those wipes."
98,98,De hecho tenia que utilizar una crema adicional.,-1.0,In fact I had to use an additional cream.
99,99,"O sea, embarrarles a la toallita para utilizarlas de y que me funcionaran: para q- que quitarme todo el maquillaje comple-",-1.0,"In other words, smear them on the washcloth to use them and they will work for me: so that I can take off all my makeup."
100,100,"Y la verdad es un perfume muy cautivamente, tiene mucho o- olor a flor. //",1.0,"And the truth is a perfume very captivating, it has a lot of o- flower smell. //"
101,101,"Tiene... // mucho olor a jazmin, mucho olor a jazmin tiene, y la verdad es un perfume floral fuer:te. //",1.0,"It has ... // a lot of jasmine smell, it has a lot of jasmine smell, and the truth is a strong floral perfume. //"
102,102,"Tal vez los otros que mostre, que: el Bvlgari por ejemplo es un: floral, pero es mas tranquilo,",1.0,"Perhaps the others that I show, that: the Bvlgari for example is a: floral, but it is calmer,"
103,103,Pero este la verdad es un floral que se hace notar.,1.0,But this the truth is a floral that is noticed.
104,104,"Que tal vez // no parece tan floral, parece // como un poco mas fuerte, //",1.0,"That maybe // doesn't seem so floral, it seems // like a little stronger, //"
105,105,"Pues si: traes este una mascara este a prueba de agua. Eh: no, Olvidalo no- no la vas a poder sacar.",-1.0,"Well yes: you bring this a mask is waterproof. Eh: no, forget it no- you won't be able to get it out."
106,106,"Primero te irritas el ojos, te sacas mil arrugas",-1.0,"First you irritate your eyes, you remove a thousand wrinkles"
107,107,"Este, lloras, este: no bueno te resecas: no",-1.0,"This, you cry, this: no good, you dry up: no"
108,108," Lo que tu te quieres imaginar que pase con tus ojos, lo peor, esto te lo logra. ",-1.0,"What you want to imagine happening with your eyes, the worst, this you achieve."
109,109,"Aja es lo peor que puede haber, // es malisimo o sea no no no,",-1.0,"Aja is the worst thing there can be, // it is very bad, that is, no no no,"
110,110,"Entra en el ojo, te irrita se te ponen rojos se te hinchan.",-1.0,"It enters the eye, it irritates you, it turns red, it swells you."
111,111,"Eh: la puntuacion que le doy: a la pelicula, // y para ser del genero que es. Que: no me llama // mucho la atencion. ",-1.0,"Eh: the punctuation that I give: to the movie, // and to be of the genre that it is. What: does not call me // much attention."
112,112,"Desde el punto de vista que eso es un drama, // y no: soy muy de dramas. ",-1.0,"From the point of view that this is a drama, // and no: I am very into dramas."
113,113,"// Eh: a la pelicula la doy un // un siete y medio y: la recomiendo bastante, le pongo una manita para arriba. //",1.0,"// Eh: I give the movie a // a seven and a half and: I highly recommend it, I put a little hand up. //"
114,114,Podeis verla y: y a mi no me gusto mucho // y a lo mejor a ustedes tambien les gusta.,1.0,You can see it and: and I didn't like it very much // and maybe you also like it.
115,115,"Me gusto la historia que me contaron, me gusto los terminos en los que esta contada.",1.0,"I liked the story they told me, I liked the terms in which it is told."
116,116,"Creo yo que hace bastante sentido, tiene logica, tiene coherencia",1.0,"I think it makes a lot of sense, it has logic, it has coherence"
117,117,"y en, insisto en esto que habia dicho al principio.",1.0,"And in, I insist on what I had said at the beginning."
118,118,"Creo que si se establece un puente en:tre este ini:cio, entre este origen del planeta de los simios. Como fue que los simios tomaron control del planeta tierra y esas peliculas que vimos hace treinta o cuarenta anos ¿no?.",1.0,"I think that if a bridge is established between this beginning, between this origin of the planet of the apes. How did apes take control of planet earth and those movies we saw thirty or forty years ago, right?"
119,119,"// Y bueno no quiero contar demasiado de lo que ocurre en esta pelicula, pero si me parece que es que es bastante recomendable. Porque es-",1.0,"// And well I don't want to tell too much about what happens in this movie, but it seems to me that it is highly recommended. Because it is-"
120,120,"Como justamente esto, explotacion de franquicias",-1.0,"Like just this, franchise exploitation"
121,121,"y visualmente, ya n- a pesar de que estan muy bien hechas ya no hay como // demasiados elementos que nos puedan sorprender.",-1.0,"and visually, since n- although they are very well made there are no longer // too many elements that can surprise us."
122,122,"Eso es lo que creo que habria que criticarle a Dreamworks,",-1.0,"That's what I think Dreamworks should be criticized for,"
123,123,creo que se estan conformando con: entrenter al publico,-1.0,I think they are settling for: entertain the public
124,124,"y con que sus peliculas sean un exito en taquilla y por lo tanto, con seguir abultando sus cuentas de banco.",-1.0,"and that his films are a success at the box office and therefore, continue to bulge his bank accounts."
125,125,"Pero creo que en busqueda de, de creo que en en cuanto a terminos de busqueda, eh: pues si se estan quedando muy cortos y me sigo quedando con las peliculas de la competencia cu-",-1.0,"But I think that in search of, I think that in terms of search, eh: well, if they are falling too short and I continue to stay with the films of the competition,"
126,126,Esa comedia que si esta: puesta deliberadamente en esta pelicula funciona funciona bastante bien,1.0,That comedy that if it is: deliberately put into this movie works works quite well
127,127,Y esta historia que no tiene nada que ver con el cuento original tambien funciona en terminos generales bastante bien,1.0,And this story that has nothing to do with the original story also works in general terms quite well
128,128,todo esto para decir que bueno no esta mal esta pelicula del gato con botas,1.0,all this to say that well it's not bad this movie of the cat in boots
129,129,es sorprendente porque para ser la quinta pelicula de una franquicia para ser un derivado -asi podriamos traducir la palabra spin-off - .,1.0,It is surprising because to be the fifth movie in a franchise to be a derivative -so we could translate the word spin-off -.
130,130,pues resulta que es- es una pelicula bastante mas: visible y bastante mas efectiva por lo menos que en Shrek tres y en Shrek cuatro,1.0,It turns out that it is- it is a much more movie: visible and much more effective at least than in Shrek three and Shrek four
131,131,"ok al- yo no se quien cambia los nombres a las peliculas, de verdad yo quisiera saber, para agarrarlo del cuello.",-1.0,"ok al- I don't know who changes the names to the movies, I really would like to know, to grab him by the neck."
132,132,"Porque a veces comenten unos errores o le cam:bian tan:to los nombres, que de verdad son nada que ver.",-1.0,"Because sometimes they make some mistakes or change them so: all the names, which really are nothing to do."
133,133,"Pero bueno en este caso no es tanto eso nada que ver el nombre, poder sin limites. ",1.0,"But hey in this case it is not so much that nothing to see the name, power without limits."
134,134,"Pero lo que sucede, de que ¿por que no le pusieron cronica?, que seria la traduccion correcta de Chronical, ¿verdad?",-1.0,"But what happens, that why they did not put a chronicle ?, That would be the correct translation of Chronical, right?"
135,135,"¿por que no? ,¿por que nos creen tan burros a los latinos que no vamos a entender con ese titulo de que se trata?,",-1.0,why not? Why do Latinos believe us so stupid that we will not understand with that title?
136,136,"nos ponen ese: titulo grande, de poder sin limites, y con eso ya nos dijeron que se trata de una pelicula de heroes y de poderes, o sea vamos al-",-1.0,"They give us that: big title, of unlimited power, and with that they already told us that it is a movie of heroes and powers, that is, we are going to-"
137,137,"La pelicula me gusto mu:cho, es bastan:te entretenida, es bastante bacana, superpoderosa y muy diferente.",1.0,"I liked the movie very much, it is enough: entertaining you, it is pretty cool, super powerful and very different."
138,138,"Yo creo que esta pelicula merece una secuela, debido al exito que ha tenido en Estados Unidos. Incluso en su semana de estreno ha superado a peliculas favoritas, como la Dama de Negro y todas estas.",1.0,"I think this movie deserves a sequel, due to the success it has had in the United States. Even in its opening week, it has surpassed favorite movies, such as the Lady in Black and all of these."
139,139,"Yo creo que esta pelicula puede tener una secuela, la verdad es que se merece tener un- una secuela,",1.0,"I think this movie can have a sequel, the truth is that it deserves to have a- a sequel,"
140,140,ya que creo que en esta primera pelicula no desarrollaron tanto la idea.,-1.0,since I think that in this first movie they didn't develop the idea as much.
141,141,"Es una idea creativa, es una idea buena,",1.0,"It’s a creative idea, it’s a good idea,"
142,142,"y yo creo que pudieron hacer mucho mas, pero mu:cho mas.",-1.0,"and I think they could do much more, but much more."
143,143,"// Decian que que te c- calmaba rojeces, que incluso las venitas esas rotas al contacto te las eliminaba. //",-1.0,"// They said that it c- calmed redness, that even those veins that were broken on contact eliminated them. //"
144,144,"Maravillas, como que esto era la solucion a todo enrojecimiento del mundo. //",1.0,"Wonders, like this was the solution to all redness in the world. //"
145,145,"!pues no! o sea, es un polvo amarillo. No es mas que un polvo amarillo y ya. //",-1.0,"!Well, no! that is, it is a yellow powder. It's just a yellow powder and that's it. //"
146,146,"No hace nada extraordinario, no calma, no: nada o sea es // totalmente equis ",-1.0,"It does nothing extraordinary, it does not calm, no: nothing, that is, it is totally equis"
147,147,o sea digo no lo voy a tirar a la basura porque pues finalmente es un polvo amarillo que me  ayuda un poquito ah: neutralizar// el rojo,1.0,I mean I am not going to throw it away because it is finally a yellow powder that helps me a little bit ah: neutralize // the red one
148,148,Pero no cumple con esas promesas que venian,-1.0,But it does not fulfill those promises that came
149,149,¿por que no me gusta? Porque huele como a coco y no se quita el olor.,-1.0,because I do not like? Because it smells like coconut and the smell is not removed.
150,150,"Esta tiene un olor muy muy fuerte, muy persistente, entonces a mi me desespera. mm ¡augh! me harta, me harta, me harta,",-1.0,"This has a very very strong, very persistent smell, so it makes me desperate. mm augh! I'm fed up, fed up, fed up,"
151,151,"y bueno me decia el chavo de de ahi de de Natural Adiction. Bueno no el de Natural Adiction, // alguien mas de ahi de la tienda, me comentaba que, que mucha gente lo que le gusta es eso el olor.",1.0,"and well the guy from there told me about Natural Adiction. Well not the one from Natural Adiction, // someone else from the store, he told me that, what many people like is the smell."
152,152,"Pero a mi en particular, no se si soy muy sangrona, pero lo que odio es el olor.",-1.0,"But to me in particular, I don't know if I'm very bloody, but what I hate is the smell."
153,153,"Que en teoria, si hicieran esta crema sin olor, asi si la compraria, pero con el olor.",1.0,"What in theory, if they made this cream without smell, so if I would buy it, but with the smell."
154,154,// No pinta. //,-1.0,// Does not paint. //
155,155,Entonces tienes que hacer demasiada presion para que te pinte y siendo la parte interna del ojo lastima mucho.,-1.0,So you have to put too much pressure to paint and the inner part of the eye hurts a lot.
156,156,"Si esta padre, que es como de: de alta duracion o sea del-",1.0,"If this parent, which is like: high-durability or that is-"
157,157,no lo puedes difuminar // para nada. //,-1.0,you can't blur it // at all. //
158,158,"Entonces es un producto que realmente no se que voy a hacer con el porque pus para dentro del ojo, me duele cuando lo uso, y para arriba no se difumina.",-1.0,"So it's a product that I really don't know what I'm going to do with it because the pus goes into the eye, it hurts when I use it, and it doesn't fade up."
159,159,"Entonces, // este no lo voy a comprar ya full-size, jamas.",-1.0,"So, // I'm not going to buy this full-size anymore, ever."
160,160,"Y no se que voy a hacer con el, bueno creo que no lo voy a usar jamas.",-1.0,"And I don't know what I'm going to do with it, well I don't think I'll ever use it."
161,161,"¿Lo usare como crayola para pintar en papel? o no se...,",-1.0,"Will I use it as a crayon to paint on paper? or I do not know...,"
162,162,pero francamente este de Dart // nou no no no nou.,-1.0,but frankly this one from Dart // nou no no no nou.
163,163,"Las cosas que no me gustaron es que siento que la autora, como les digo, de repente da muchas vueltas que: no dan a nada. ",-1.0,"The things that I did not like is that I feel that the author, as I tell you, suddenly goes around many times that: they do not lead to anything."
164,164,"O sea, como que de repente pasan muchos capitulos en los que no esta pasando nada",-1.0,"I mean, all of a sudden many chapters go by in which nothing is happening"
165,165,y la situacion que estan viviendo ellas no es tampoco tan entretenida.,-1.0,and the situation they are experiencing is not so entertaining either.
166,166,"Y eso me molesta me m- siento que los libros se pudieron haber ido mas rapido si hubieramos quitado el relleno, que tampoco era como que muy: interesante.",-1.0,"And that bothers me I m- I feel that the books could have gone faster if we had removed the padding, which was not that very interesting either."
167,167,"Otra cosa que no me gusta es que de repente, // va la narracion // y luego, como que se empiezan a meter otras cosas por ejemplo no se // y la pared: era azul",-1.0,"Another thing I don't like is that suddenly, // the narration goes // and then, like other things start to get in, for example I don't know // and the wall: it was blue"
168,168,"Me gusto de esta crema mm que, bueno, aparte de la textura que ahora os mostrare,",1.0,"I liked this cream mm that, well, apart from the texture that I will show you now,"
169,169,"eh:, tiene: tiene componentes antioxidantes y tiene tambien acido hialuronico.",1.0,"eh :, it has: it has antioxidant components and it also has hyaluronic acid."
170,170,"Y: eso la verdad que ya para el: el cuidado de las pieles un: poco maduras, pues la verdad es que siempre viene bien.",1.0,"And: that is the truth that already for him: the care of the skins a: little mature, because the truth is that it always comes in handy."
171,171,"Y ya lo que me cautivo es que se puede utilizar o yo de hecho la utilizo, eh, como una crema con",1.0,"And what captivates me is that it can be used or I actually use it, uh, as a cream with"
172,172,Este libro sinceramente no lo podia soltar.,1.0,I honestly couldn't drop this book.
173,173,"Va continua la historia o sea, cuando yo lo estaba leyendo se lo describia a las demas personas como si estuvieras poniendo agua, que no deja de fluir. Este,",1.0,"The story goes on, that is, when I was reading it, I described it to other people as if you were putting water, which does not stop flowing. East,"
174,174,"y eso es muy bueno en un libro, porque no llegas a un punto en donde quieres ok // ya",1.0,"and that's very good in a book, because you don't get to a point where you want ok // ya"
175,175,"¡no! Todo el tiempo esta pasando cosas, todo el tiempo te mantiene intrigado y te mantiene interesado.",1.0,"not! All the time things are happening, all the time it keeps you intrigued and keeps you interested."
176,176,"La historia de amor es muy buena, porque la verdad",1.0,"The love story is very good, because the truth"
177,177,"Es, este complicada, es interesante de leer y quieres seguir sabiendo mas sobre que va a pasar con ellos y cosas asi.",1.0,"It is, this complicated, it is interesting to read and you want to continue knowing more about what will happen to them and things like that."
178,178,"Me di cuenta al cabo de muchos anos que este era mi libro favorito porque,",1.0,"I realized after many years that this was my favorite book because,"
179,179,siempre recurro a el cuando me apetece leer algo que se que me va a gustar.,1.0,I always turn to him when I feel like reading something that I know I will like.
180,180,"Siempre recurro a el cuando me apetece:, pues no se //",1.0,"I always turn to him when I feel like it, well, I don't know //"
181,181,siempre recurro a el y ya esta.,1.0,I always turn to him and that's it.
182,182,"Me: me di cuenta de que siempre era el libro que buscaba, siempre era el libro que, que tenia en la mente",1.0,"Me: I realized that it was always the book I was looking for, it was always the book that I had in mind"
